Company,Executive,Title,Since,Notes,Updated,undergraduate_years,undergraduate_institute,undergraduate_major,undergraduate_minor,undergraduate_degree,undergraduate_note,master_years,master_institute,master_major,master_minor,master_degree,master_note,phd_years,phd_institute,phd_major,phd_minor,phd_degree,phd_note
Crown Worldwide Group,James E. Thompson,Chairman and founder[40],1965,Founder of the firm,2017/11/14,,San Jose State University,aeronautical engineering,,BS,brother of Alpha Tau Omega (Epsilon Chi Chapter).,,,,,,,,,,,,
Daimler AG,Ola Källenius,Chairman of the board of management[41],2019,Also head of Mercedes-Benz,2020/08/08,,,,,,,,,,,,,,,,,,
Dell,Michael Dell,Chairman and CEO[42],1984,Founder of the firm,2017/11/14,,,,,,dropped out of the University of Texas (where he took up pre-med) at age 19,,,,,,,,,,,,
Deutsche Bank,Christian Sewing,CEO,2018,"Former head of private and commercial banking at Deutsche Bank, replaced John Cryan",2018/12/19,,Frankfurt School of Finance & Management,business administration,,,,,,,,,,,,,,,
Deutsche Post,Frank Appel,CEO[43],2008,Previously with McKinsey & Co.,2017/11/14,,,,,,,????-1989,University of Munich,chemistry,,MSc,,????-1993,Swiss Federal Institute of Technology (ETH),neurobiology,,PhD,
Dickey's Barbecue Pit,Roland Dickey Jr.,CEO[44],2016,Grandson of the company founder.,2019/05/28,1992-1996,Southern Methodist University,"Business Administration and Management, General",,B.B.A.,,,,,,,,,,,,,
Dow Chemical Company,Edward D. Breen,CEO[45],2015,Previously CEO of Tyco International,2017/11/14,,,,,,,,,,,,,,,,,,
Dr. Reddy's,G. V. Prasad,Co-chairman and CEO[46],2001,Previously MD of Cheminor Drugs before it was acquired by Dr. Reddy's,2017/11/14,1980-1982,Illinois Institute of Technology,Chemical Engineering,,BS,,1982-1983,Purdue University,Management,,MSIA,,,,,,,
Eastman Kodak,Jeff Clarke,CEO[47],2014,Member of the boards of Autodesk and the State University of New York at Geneseo,2017/11/14,1979-1983,State University of New York College at Geneseo,Economics,,BA,"Geneseo Foundation, Board of Directors, 2006-2013",1983-1985,Northeastern University,,,MBA,"Trustee, 2013-Present",,,,,,
eBay,Devin Wenig,President and CEO[48],2015,"Third CEO of the company, after Meg Whitman and John Donahoe",2017/11/14,,Union College,,,BA,,,Columbia Law School,,,JD,,,,,,,
Electronic Arts,Andrew Wilson,CEO[49],2013,On the board for Intel,2017/11/14,,,,,,,,,,,,,,,,,,
Ericsson,Börje Ekholm,President and CEO[50],2017,"On the boards for the Alibaba Group, Nasdaq, Inc., Trimble, and the Royal Institute of Technology.",2017/11/14,,,,,,,1984-1988:::1989-1990,KTH Royal Institute of Technology:::INSEAD,Electrical Engineering:::,,MSC:::MBA,:::Dean's list,,,,,,
Exxon Mobil,Darren Woods,Chairman and CEO[51],2017,Replaces Rex Tillerson who became United States Secretary of State,2017/11/14,,Texas A&M University,electrical engineering,,BS,,,Northwestern University,,,MBA,,,,,,,
EY,Carmine Di Sibio,Global chairman and CEO[52],2019,Succeeded Mark Weinberger,2017/11/14,,Colgate University,Chemistry,,BA,,,New York University,,,MBA,,,,,,,
Facebook,Mark Zuckerberg,Chairman and CEO,2004,Co-founded Facebook in 2004,2017/11/14,,,,,,dropped out of Harvard where he studied psychology and computer science in his sophomore year in order to complete his project,,,,,,,,,,,,
FedEx,Frederick W. Smith,Chairman and CEO[53],1971,Founder of the company,2017/11/14,????-1966,Yale University,economics,,BA,,,,,,,,,,,,,
Fiat S.p.A.,Sergio Marchionne,CEO[54],2004,"Also chairman of CNH Industrial, Ferrari, Maserati, Chrysler and SGS S.A.",2017/11/14,,,,,,,,,,,,,,,,,,
Fidelity Investments,Abigail Johnson,"Chairman, president and CEO",2014,"Granddaughter of the firm's founder, Edward C. Johnson II",2017/11/14,????-1984,William Smith College,art history,,BA,,,Harvard Business School,,,MBA,,,,,,,
Fine Hygienic Holding,James Michael Lafferty,"Chief Executive Officer, Member Board of Directors",2018,"Former regional CEO for P&G, Coca-Cola, and BAT",2021/02/05,????-1985,University of Cincinnati,"psychology, physiology",,,,,,,,,,,,,,,
Ford Motor Company,James Hackett,President and CEO[55],2017,"Previously CEO of Steelcase, succeeded Mark Fields",2017/11/14,,University of Michigan,general studies,,BA,,,,,,,,,,,,,
